序号,用户地址,交易,ETH数量,LRC数量,价格,渠道
84,0xb341a83b77dccc5b14759957a795c6fce43150c6,0x0df85a65351cc9a52eb1e900ee7df6625ccb4cb63e81db692e48909d012a97f8,5.48,32880.0,6000.0,
85,0x114ee4ee7e6c4bf88c112a1cd1590c82e71ab298,0x0e08717070dd5673fc1a3aa54733e2fbb898149c7ffbad91ddefc567da7262ec,0.10,600.0,6000.0,
86,0xaae42ed8312d010281ba4669be8d146c94ecb679,0x0f8833dae880a1771b4780a99dfeb53e08319dd5fe38bacbc49ada1f2e309e17,0.55,3300.0,6000.0,
87,0x4c9292a71cbab11b2388b7e08382d7089206df2d,0x0ffd7d07a09db178dd19bf1ff3e8fc8c68fe64a298455258ae3f2d693210a03e,3.08,18480.0,6000.0,
88,0xba807c486fd573c42bcc568848cb491989b89d1e,0x15a86a958c500b6db47faab16f55b0b1d0f4ac158caca18667e6587299bcbb86,2.00,12000.0,6000.0,
89,0x07c05aab7c0e20068f8e9573d3de87550f24600d,0x1629ac30e40b6f606552e3e348c25067dd36baf207046697b5b96594eb967528,6.00,36000.0,6000.0,
90,0x92be74d47dd814de11c444bfc10048376f6f1657,0x16840d9519c03cc588227de9c3f16a787d0a6f3d8e10b34744c5227ab945bc03,3.08,18480.0,6000.0,
91,0xd72b5e3e284306b88cf357c9bfafee7431652558,0x16a69a447d490cd3acffbe5806fd80022dc7b1c3c51ab24ee3687e83ca2c787c,1.00,6000.0,6000.0,
92,0x3891d8e9fc594c1485d0daad18278e5f7e4ff84f,0x16c34fccb09ea3dd5d4da89593455dba9cd82d3b9556d0e8dce5917197c3f0d8,1.15,6906.0,6000.0,
93,0xb921a70d5724f411c57b4432d790395f6d16bada,0x1815bf75494abe9580159810a1b2544a7e6efd591c4e8b0c5245286ae26c6c39,2.00,12000.0,6000.0,
94,0x0b362de50c65555f637e4ef4fe8ed625ebb54086,0x18d7003803ecdec0916c56bb9ac6d8113c5804fe3b0bdf41b3eae81841bf6a79,351.64,2109828.7,6000.0,
95,0x01198d5f2fc949239c0ee9c399e09bd4b918afd4,0x19dbac5a6a41e8fe8ef1764c60c3da815ab02f592987e0d234badce255a1b4cd,4.05,24300.0,6000.0,
96,0xb4a51503de17a2057ab655a2f49985eb9914c838,0x1cce0aa3340378342fb1aefd8d9a8676b7d7c10742ce262ed2e7904b22810e53,0.49,2940.0,6000.0,
97,0x87d2ee46f42df20e58fd4775b77b2b164f6d0198,0x1d0268c16d674e851fb073fc6e6db6f2c2a76a72690ec1ce23af11e1cc3ba028,2.00,12000.0,6000.0,
98,0x9979ec45a5ccfb67107d7a1c6fdbc10320bdfb05,0x205e0e47b7f5215ee32bbb918a719f5ced5804afdb1281fb3f04b80ccff25eb1,1.01,6048.0,6000.0,
99,0x47af714e2d17959a57e82be6832fd5ea0a75c31d,0x226e2a81fca484b2c5995c25bddedd106b2e5eca6ed923a79133c1b76b291bb5,50.00,300000.0,6000.0,
100,0x679a253da2604a1426be87e6b073bf58e9cec479,0x23107c77933d85ead1edd98245e982901191cd890ea212cb7ed24b805b4b0a7a,5.00,30000.0,6000.0,
101,0x941a4f5add0653e1aa7148a872801652cb983b93,0x231c47bebcff358953839286dff28dde470e740cf8c9d094056c8c06093adf28,0.02,108.0,6000.0,
102,0x6f4613bec1c9a63935d7f6bb41b432f967f83fee,0x2421853fdfc5f46f8d15f6ebe85a787296601cf7edec480e2bbffd262061f910,19.00,114000.0,6000.0,
103,0x25d6bb14eea6e12b700d941e3da76fb12fb31c61,0x25870945fe29f11a6cac459b6be616558c5799497e75a052bc535e90a563a299,20.00,120000.0,6000.0,
104,0xeafedde19f9c37e44f1ec91487003fdf895dda3f,0x283a3d4910061943bf6627367f68f4e83c9f8a9742b44e14522a11a3d2bd068f,4.10,24600.0,6000.0,
105,0x9941bd7229ee4c193e714d2915c052eb33641381,0x2a24fc25e0d618cf0ee2cefd88dea8b781634abcbedc45b80c97d5843223c972,1.00,6000.0,6000.0,
106,0xce62fb3a3947d85beeb03aac3b079d8865dcb9a9,0x2b14c238d955ac71d25785ae9e18cd646d5e8cfff37a79b4847ab8d18588d611,4.80,28800.0,6000.0,
107,0x458a019f0ad8f0b13f551796cee75f3a3d9d93e1,0x2d90d5d6f738c1116dad39a26af8aaccdc516096b393e337b543c51e35c894ed,3.00,18000.0,6000.0,
108,0x7450e11a8a9f2658afc6ec1bc70a337bf9469fe1,0x2eab126176cd6d49fefd0c9f767a1d79ef912b5e453837a80e1d2f7ff149821e,2.00,12000.0,6000.0,
109,0x68156789102102183a53116fdb7fc54be7241972,0x3068e54e8e2ae53f0cb106b9cab75d95436da0206873bafe2cce486708d4625a,10.00,60000.0,6000.0,
110,0xcdbff05073523982c84cc305cb084f9eb16dc8c0,0x3122fa223e6e4c7b2b2b00b4e0289a2cca784e59438a5a59f2d86fc33ef990c0,3.00,18000.0,6000.0,
111,0xd265c3ad980b7b40d2769938a4809f6f01d4f1c5,0x326a7d7118cc93ed94ec5687f86f47af14df4c66f09e5751eca2f502963375be,4.00,24000.0,6000.0,
112,0x0c9541f8b0f2d690003542c4188b1a3e486053e4,0x33b4f596286b2148b20c79ee77f6b06d9c3075d06dfe61ebbf3f1c80def35eaa,28.00,168000.0,6000.0,
